AS7700,SINGAPORE TELECOMMUNICATIONS LTD,Singapore
AS52143,dotSmart SARL,France
AS21297,Oslo Bors ASA,Norway
AS34240,manitu GmbH,Germany
AS43117,ITI NEOVISION SP. Z O.O.,Poland
AS57679,Private Enterprise Teleradiocompany Tonus,Ukraine
AS49579,AgustaWestland S.P.A.,Italy
AS30656,PUBLIC SERVICE MUTUAL COMPANY,NULL
AS38391,Gyeonggi provincial gimpo office of education,NULL
AS61100,Norvik Banka AS,Latvia
AS32417,Elon University,NULL
AS131711,PT Asia Global Network,Indonesia
AS21503,Phonera Networks AB,Sweden
AS132707,Asix,Pakistan
AS15185,The Hibbert Group,NULL
AS34252,Chodkiewicz Krzysztof Edward EDMIRA,Poland
AS42950,IT Systems Solutii Profesionale SRL,NULL
AS23755,Citylink,NULL
AS58256,Rayaneh Gostar Farzanegan Ahwaz Company LTD.,NULL
AS42734,Playtime Ltd,Bulgaria
AS198301,Workday Limited,Ireland
AS50251,Aktel Ltd.,Kyrgyzstan
AS18814,Atlantic Technology Centre Inc,NULL
AS13512,Monroe Telephone Co.,NULL
AS49698,National Training Foundation,NULL
AS199826,IRAQ SMART TECHS LLC,Iraq
AS132761,Smartlink Solutions,India
AS17539,NetSol Connect,Pakistan
AS22394,Cellco Partnership DBA Verizon Wireless,NULL
AS49923,Generale Frigorifique SAS,France
AS58324,Debitex Telecom SASU,France
AS1403,ELECTRONIC BOX,Canada
AS23082,Michigan Public Health Institute,NULL
AS12465,Banca di Intermediazione Mobiliare IMI S.p.A.,Italy
AS198153,AS SEIDOR DATACENTER SANTANDER,Spain
AS43500,WIZTECH SOLUTIONS SRL,Romania
AS41402,Airbus SAS,NULL
AS328,DoD Network Information Center,NULL
AS199559,Bloomberg Polarlake Limited,Ireland
AS36321,Sparkart LLC,NULL
AS23790,Kumamoto Cable Network Corporation,Japan
AS10806,AGENCE FRANCE PRESSE,France
AS43932,Sopockie Towarzystwo Ubezpieczen Ergo Hestia S.A.,Poland
AS16841,GLOBAL IT,NULL
AS22042,Flow Traders US LLC,NULL
AS63,Massachusetts Institute of Technology,NULL
AS46931,Cougar Communications,NULL
AS58617,TPL Trakker Ltd,Pakistan
AS54031,BannerView.com,NULL
AS49074,SC TECHNOLOGICAL SRL,Romania
AS50606,FUZ Adam Rojek,Poland
AS29734,International Auto Parts Inc.,NULL
AS58631,Vista Entertainment Solutions Ltd.,NULL
AS196979,MARCIN POLOCZEK POLNET,Poland
AS47323,LLC PioneerNet,NULL
AS30362,Hawaii Pacific Teleport LP,NULL
AS41973,VHI Healthcare,Ireland
AS132823,IMS Health India Pvt Ltd,NULL
AS36294,Clark County Computer Connections,NULL
AS199292,Antonio Borrego Pineda,Spain
AS52307,LTDA,Argentina
AS39440,netplusFR SA,Switzerland
AS262680,SHOP NET LTDA,NULL
AS37931,Optus Customer Network,Australia
AS44435,SAP Labs Israel Ltd.,Israel
AS41920,ON S.A.,Greece
AS47721,SELECTRA AG,NULL
AS196852,Valstybine ligoniu kasa prie Sveikatos apsaugos ministerijos,Lithuania
AS36286,Red Rock Colo LLC,NULL
AS40066,Microsoft Corporation,NULL
AS26965,Factual Inc.,NULL
AS44898,GUEST s.r.l.,Italy
AS55042,US Conec Ltd,NULL
AS18640,Idealab,NULL
AS61306,LLC LitRes,NULL
AS22562,Computer Sciences Corporation,NULL
AS197731,J.M. Schouten trading as Tuxis Internet Engineering,Netherlands
AS131703,Universitas Negeri Jakarta,Indonesia
AS4255,Bain And Company,NULL
AS61023,Worldcall,Belgium
AS15127,Chatham Internet Access,Canada
AS31262,Intercambio Electronico de Datos,NULL
AS32771,DNSimple,NULL
AS61036,JSC Dadeh Pardazi Fanava,NULL
AS44504,Andy Davidson,NULL
AS44903,Layo Net SRL,Romania
AS56265,Level 3,Australia
AS1301,Electricite de France Service National,NULL
AS196963,LLC ipTelefon,NULL
AS47309,QSC AG,Germany
AS2589,Wanstor Ltd,NULL
AS8789,Novosco Limited,NULL
AS37410,LONESTAR,Liberia
AS44785,Robot AS Number,Portugal
AS197142,Bankowy Fundusz Gwarancyjny,NULL
AS37035,MIC TANZANIA LTD,NULL
AS36354,SherWeb inc.,Canada
AS21226,Krasnoyarsk PTUS,NULL
AS50262,Unic AG,Switzerland
AS49980,Mihail Juriwitsch Novikov,NULL
AS28299,Internet Ltda,NULL
AS39771,Renault Trucks SAS,France
AS39701,SkyLine Ltd,NULL
AS26968,Rocket Networks,Canada
AS18332,postopia,NULL
AS131352,VietNam Computer Emergency Response Teams,Vietnam
AS17311,Erie County Medical Center,NULL
AS1289,Colgate University,NULL
AS3905,REDUNO S.A. de C.V,Mexico
AS11073,Minnesota Public Radio,NULL
AS60486,Telecom 26 AG,Switzerland
AS49037,Megalink Ltd.,NULL
AS36781,ERT,NULL
AS29938,MMS International,NULL
AS60368,Greentube Internet Entertainment Solutions GmbH,Austria
